text,label
यो फिल्म धेरै राम्रो छ,positive
मलाई यो सेवा मन पर्यो,positive
खाना निकै मिठो थियो,positive
अनुभव उत्कृष्ट भयो,positive
यो उत्पादन उपयोगी छ,positive
म यो ठाउँ सिफारिस गर्छु,positive
कर्मचारीहरू सहयोगी थिए,positive
एप चलाउन सजिलो छ,positive
म फेरि प्रयोग गर्छु,positive
गुणस्तर राम्रो लाग्यो,positive
सेवा छिटो र राम्रो थियो,positive
टोलीले राम्रो सहयोग गर्यो,positive
म धेरै खुसी भएँ,positive
फिल्म रमाइलो र राम्रो लाग्यो,positive
उत्पादन भरपर्दो छ,positive
मूल्य अनुसार सुविधा राम्रो छ,positive
सफ्टवेयर सजिलो र उपयोगी छ,positive
जवाफ छिटो आयो,positive
ग्राहक सेवा उत्कृष्ट छ,positive
मेरो अनुभव सकारात्मक रह्यो,positive
यो फिल्म नराम्रो छ,negative
सेवा धेरै खराब थियो,negative
मलाई उत्पादन मन परेन,negative
अनुभव निराशाजनक भयो,negative
गुणस्तर कमजोर छ,negative
खाना चिसो र बेस्वाद थियो,negative
एप बारम्बार बन्द भयो,negative
कर्मचारीहरू असहयोगी थिए,negative
म फेरि प्रयोग गर्दिन,negative
मूल्य अनुसार सुविधा छैन,negative
सेवा ढिलो र खराब थियो,negative
टोलीले सहयोग गरेन,negative
म धेरै असन्तुष्ट भएँ,negative
फिल्म झुर र नराम्रो लाग्यो,negative
उत्पादन भरपर्दो छैन,negative
समस्या समाधान भएन,negative
सफ्टवेयर चलाउन गाह्रो छ,negative
जवाफ ढिलो आयो,negative
ग्राहक सेवा कमजोर छ,negative
मेरो अनुभव नकारात्मक रह्यो,negative
आज बैठक भयो,neutral
यो सूचना मात्र हो,neutral
कार्यक्रम बिहान सुरु भयो,neutral
रिपोर्ट प्रकाशित भयो,neutral
सूची सार्वजनिक गरियो,neutral
कक्षा दस बजे सुरु हुन्छ,neutral
फारम अनलाइन उपलब्ध छ,neutral
मिति भोलि घोषणा गरिनेछ,neutral
कार्यालय आज खुला छ,neutral
नतिजा वेबसाइटमा राखिएको छ,neutral
आज मौसम सामान्य छ,neutral
कागजात कार्यालयमा बुझाइयो,neutral
बैठकको समय परिवर्तन भयो,neutral
विवरण तालिकामा राखिएको छ,neutral
प्रक्रिया अर्को हप्ता सुरु हुनेछ,neutral
सूचना बोर्डमा टाँसिएको छ,neutral
नयाँ नियम आजदेखि लागू भयो,neutral
आवेदन फारम बुझाउने समय पाँच बजे हो,neutral
कक्षा कोठा परिवर्तन गरिएको छ,neutral
अर्को सूचना पछि प्रकाशित हुनेछ,neutral
